"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.023Northern",NA,NA,NA,NA,NA,NA,3383,3383,3998,3075,3383,3690,3383,3998,4920,3075,3383,3998,3383,4305,6150,3075,3690,4305,3383,4305,NA,3075,3690,4613,3383,4305,NA,3075,3690,4613,3383,4613,NA,3075,3690,4613,3383,4613,NA,2768,3998,4920
"0.033Northern",NA,NA,NA,NA,NA,NA,2768,2768,3383,2460,2768,2768,1845,2460,3690,1538,1845,2460,1230,2153,3998,308,1230,1845,923,1845,3998,308,923,1845,923,1845,3998,308,923,1845,615,1845,3998,NA,615,1538,308,1538,3998,NA,308,1230
"0.043Northern",NA,NA,NA,NA,NA,NA,2153,2153,2768,1845,1845,2153,308,923,2153,NA,308,615,NA,NA,1538,NA,NA,NA,NA,NA,1538,NA,NA,NA,NA,NA,1538,NA,NA,NA,NA,NA,1230,NA,NA,NA,NA,NA,923,NA,NA,NA
"0.026Northern",NA,NA,NA,NA,NA,NA,3383,3383,3383,3075,3383,3383,3383,3383,3998,3075,3383,3383,3383,3690,4305,3075,3383,3690,3383,3690,4305,3075,3383,3690,3383,3690,4305,3075,3383,3690,3383,3690,4613,3075,3383,3690,3383,3690,4613,3075,3383,3998
"0.036Northern",NA,NA,NA,NA,NA,NA,3075,3075,3383,3075,3075,3075,2768,3075,3383,2460,2768,2768,2460,2768,3383,2153,2460,2768,2460,2768,3383,2153,2460,2768,2460,2768,3383,2153,2460,2768,2153,2768,3383,1845,2153,2460,2153,2460,3690,1845,2153,2460
"0.046Northern",NA,NA,NA,NA,NA,NA,2768,2768,3075,2768,2768,2768,2153,2460,2768,1845,2153,2153,1538,1845,2768,1230,1538,1845,1538,1845,2460,923,1230,1538,1538,1845,2460,923,1230,1538,1230,1538,2460,923,1230,1538,923,1538,2460,308,923,1230
"0.029Northern",NA,NA,NA,NA,NA,NA,3383,3383,3383,3075,3383,3383,3383,3383,3690,3075,3383,3383,3383,3383,3998,3075,3383,3383,3383,3383,3998,3075,3383,3690,3383,3383,3998,3075,3383,3690,3383,3383,3998,3075,3383,3690,3383,3690,4305,3075,3383,3690
"0.039Northern",NA,NA,NA,NA,NA,NA,3075,3075,3383,3075,3075,3075,2768,3075,3383,2768,2768,3075,2768,3075,3383,2460,2768,2768,2768,3075,3383,2460,2768,2768,2768,3075,3383,2460,2768,2768,2768,2768,3383,2460,2768,2768,2460,2768,3383,2460,2460,2768
"0.049Northern",NA,NA,NA,NA,NA,NA,3075,3075,3075,2768,3075,3075,2460,2768,3075,2460,2460,2768,2153,2460,2768,1845,2153,2153,2153,2460,2768,1845,2153,2153,2153,2460,2768,1845,2153,2153,1845,2153,2768,1845,1845,2153,1845,2153,2768,1538,1845,1845
"0.023Central",NA,NA,NA,NA,NA,NA,3075,3383,3998,3075,3383,3383,3075,3690,4920,2768,3383,3690,3075,3998,5843,2768,3383,3998,3075,4305,6150,2768,3383,4305,3075,4305,6150,2768,3383,4305,3075,4305,NA,2460,3383,4305,3075,4305,NA,2460,3383,4305
"0.033Central",NA,NA,NA,NA,NA,NA,2460,2768,3383,2460,2460,2768,1538,2153,3383,1230,1538,2153,923,1845,3690,NA,615,1538,615,1538,3690,NA,615,1230,615,1538,3690,NA,615,1230,308,1538,3690,NA,308,1230,NA,1230,3690,NA,NA,615
"0.043Central",NA,NA,NA,NA,NA,NA,1845,2153,2768,1538,1845,2153,308,923,1845,NA,NA,308,NA,NA,1230,NA,NA,NA,NA,NA,1230,NA,NA,NA,NA,NA,1230,NA,NA,NA,NA,NA,923,NA,NA,NA,NA,NA,615,NA,NA,NA
"0.026Central",NA,NA,NA,NA,NA,NA,3075,3383,3383,3075,3383,3383,3075,3383,3998,3075,3383,3383,3075,3690,4305,3075,3383,3690,3075,3690,4305,3075,3383,3690,3075,3690,4305,3075,3383,3690,3075,3690,4305,3075,3383,3690,3075,3690,4613,3075,3383,3690
"0.036Central",NA,NA,NA,NA,NA,NA,3075,3075,3383,2768,3075,3075,2768,2768,3383,2460,2460,2768,2153,2768,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,1845,2460,3383,1538,1845,2153
"0.046Central",NA,NA,NA,NA,NA,NA,2768,2768,3075,2460,2768,2768,2153,2153,2768,1845,1845,2153,1538,1845,2460,923,1230,1538,1230,1538,2460,615,923,1230,1230,1538,2460,615,923,1230,923,1538,2460,615,923,1230,615,1230,2153,NA,615,923
"0.029Central",NA,NA,NA,NA,NA,NA,3075,3383,3383,3075,3383,3383,3075,3383,3690,3075,3383,3383,3075,3383,3998,3075,3383,3383,3075,3383,3998,3075,3383,3383,3075,3383,3998,3075,3383,3383,3075,3383,3998,3075,3383,3383,3075,3383,3998,3075,3383,3383
"0.039Central",NA,NA,NA,NA,NA,NA,3075,3075,3383,3075,3075,3075,2768,3075,3383,2768,2768,3075,2768,2768,3383,2460,2768,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2153,2460,2768
"0.049Central",NA,NA,NA,NA,NA,NA,2768,3075,3075,2768,2768,3075,2460,2768,3075,2460,2460,2460,2153,2460,2768,1845,1845,2153,1845,2153,2768,1538,1845,2153,1845,2153,2768,1538,1845,2153,1845,2153,2768,1538,1845,1845,1538,1845,2460,1230,1538,1845
"0.023Black Belt",NA,NA,NA,NA,NA,NA,3075,3383,3998,3075,3075,3383,3075,3690,4920,2768,3075,3690,3075,3998,5843,2460,3075,3998,3075,3998,6150,2460,3075,3998,3075,3998,6150,2460,3075,3998,2768,3998,6150,2460,3075,3998,2768,4305,NA,2153,3075,4305
"0.033Black Belt",NA,NA,NA,NA,NA,NA,2460,2768,3383,2153,2460,2768,1538,2153,3383,923,1538,1845,615,1538,3383,NA,615,1230,308,1538,3383,NA,308,923,308,1538,3383,NA,308,923,NA,1230,3383,NA,NA,923,NA,923,3383,NA,NA,308
"0.043Black Belt",NA,NA,NA,NA,NA,NA,1845,2153,2768,1538,1845,1845,NA,615,1845,NA,NA,308,NA,NA,923,NA,NA,NA,NA,NA,923,NA,NA,NA,NA,NA,923,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,308,NA,NA,NA
"0.026Black Belt",NA,NA,NA,NA,NA,NA,3075,3383,3383,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,4305,3075,3075,3383,3075,3383,4305,3075,3075,3383,3075,3383,4305,3075,3075,3383,3075,3690,4305,2768,3075,3690,3075,3690,4613,2768,3075,3690
"0.036Black Belt",NA,NA,NA,NA,NA,NA,3075,3075,3383,2768,3075,3075,2460,2768,3383,2460,2460,2768,2153,2460,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,2153,2460,3383,1538,1845,2153,1845,2460,3383,1538,1845,2153
"0.046Black Belt",NA,NA,NA,NA,NA,NA,2768,2768,3075,2460,2768,2768,2153,2153,2768,1845,1845,2153,1230,1538,2460,923,1230,1538,1230,1538,2153,615,923,1230,1230,1538,2153,615,923,1230,923,1538,2153,308,615,923,615,1230,2153,NA,308,615
"0.029Black Belt",NA,NA,NA,NA,NA,NA,3075,3383,3383,3075,3075,3383,3075,3383,3690,3075,3075,3383,3075,3383,3690,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,3998,3075,3075,3383
"0.039Black Belt",NA,NA,NA,NA,NA,NA,3075,3075,3383,3075,3075,3075,2768,3075,3383,2768,2768,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2153,2460,2768,2460,2768,3383,2153,2460,2460
"0.049Black Belt",NA,NA,NA,NA,NA,NA,2768,3075,3075,2768,2768,2768,2460,2768,2768,2153,2460,2460,2153,2153,2768,1845,1845,2153,1845,2153,2768,1538,1845,1845,1845,2153,2768,1538,1845,1845,1845,2153,2460,1538,1538,1845,1538,1845,2460,1230,1538,1538
"0.023Southern",NA,NA,NA,NA,NA,NA,3075,3383,3998,3075,3075,3383,3075,3690,4920,2768,3075,3690,2768,3998,5843,2460,3075,3998,2768,3998,5843,2460,3075,3998,2768,3998,5843,2460,3075,3998,2768,3998,6150,2153,3075,3998,2768,3998,NA,2153,3075,3998
"0.033Southern",NA,NA,NA,NA,NA,NA,2460,2768,3383,2153,2460,2768,1538,2153,3383,923,1538,1845,615,1538,3383,NA,308,923,308,1230,3383,NA,NA,923,308,1230,3383,NA,NA,923,NA,1230,3383,NA,NA,615,NA,923,3383,NA,NA,308
"0.043Southern",NA,NA,NA,NA,NA,NA,1845,2153,2460,1538,1538,1845,NA,615,1845,NA,NA,NA,NA,NA,923,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.026Southern",NA,NA,NA,NA,NA,NA,3075,3383,3383,3075,3075,3383,3075,3383,3690,3075,3075,3383,3075,3383,4305,2768,3075,3383,3075,3383,4305,2768,3075,3383,3075,3383,4305,2768,3075,3383,3075,3383,4305,2768,3075,3383,3075,3690,4613,2768,3075,3690
"0.036Southern",NA,NA,NA,NA,NA,NA,3075,3075,3383,2768,3075,3075,2460,2768,3383,2460,2460,2768,2153,2460,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,2153,2460,3383,1845,2153,2460,1845,2460,3383,1538,1845,2153,1845,2460,3383,1230,1845,2153
"0.046Southern",NA,NA,NA,NA,NA,NA,2768,2768,3075,2460,2768,2768,1845,2153,2768,1538,1845,2153,1230,1538,2460,923,923,1230,1230,1538,2153,615,923,1230,1230,1538,2153,615,923,1230,923,1230,2153,308,615,923,615,923,2153,NA,308,615
"0.029Southern",NA,NA,NA,NA,NA,NA,3075,3383,3383,3075,3075,3383,3075,3383,3690,3075,3075,3383,3075,3383,3690,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,3998,3075,3075,3383,3075,3383,3998,3075,3075,3383
"0.039Southern",NA,NA,NA,NA,NA,NA,3075,3075,3383,3075,3075,3075,2768,3075,3383,2768,2768,2768,2460,2768,3383,2460,2460,2768,2460,2768,3383,2153,2460,2768,2460,2768,3383,2153,2460,2768,2460,2768,3383,2153,2460,2768,2460,2768,3383,2153,2153,2460
"0.049Southern",NA,NA,NA,NA,NA,NA,2768,3075,3075,2768,2768,2768,2460,2460,2768,2153,2460,2460,2153,2153,2768,1845,1845,2153,1845,2153,2768,1538,1845,1845,1845,2153,2768,1538,1845,1845,1845,2153,2460,1538,1538,1845,1538,1845,2460,1230,1538,1538
