"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.023Northern",NA,NA,NA,NA,NA,NA,4920,5535,NA,5228,5535,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.033Northern",NA,NA,NA,NA,NA,NA,4305,4920,5843,4305,4920,5228,5843,NA,NA,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.043Northern",NA,NA,NA,NA,NA,NA,3690,4305,5228,3690,3998,4613,4613,5843,NA,4305,5228,6150,5228,NA,NA,4920,NA,NA,5535,NA,NA,4920,NA,NA,5535,NA,NA,4920,NA,NA,5535,NA,NA,5228,NA,NA,6150,NA,NA,5535,NA,NA
"0.026Northern",NA,NA,NA,NA,NA,NA,3998,3998,4613,3998,3998,4305,4920,5228,6150,4920,5228,5535,5843,NA,NA,5843,NA,NA,5843,NA,NA,6150,NA,NA,5843,NA,NA,6150,NA,NA,6150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.036Northern",NA,NA,NA,NA,NA,NA,3690,3998,4305,3690,3690,3998,4305,4920,5843,4305,4613,4920,4920,5535,NA,4920,5535,5843,4920,5843,NA,4920,5535,6150,4920,5843,NA,4920,5535,6150,5228,6150,NA,5228,5843,NA,5535,NA,NA,5535,6150,NA
"0.046Northern",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3690,3690,3690,4305,5228,3690,3998,4305,3998,4920,6150,3998,4305,4920,3998,4920,NA,3998,4613,5228,3998,4920,NA,3998,4613,5228,4305,5228,NA,3998,4613,5228,4305,5228,NA,3998,4920,5535
"0.029Northern",NA,NA,NA,NA,NA,NA,3690,3690,3998,3690,3690,3998,4305,4613,5228,4305,4613,4613,4920,5228,6150,4920,5228,5535,4920,5535,NA,4920,5228,5843,4920,5535,NA,4920,5228,5843,4920,5535,NA,5228,5535,5843,5228,6150,NA,5535,5843,NA
"0.039Northern",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3690,3690,3998,4305,4613,3998,3998,4305,4305,4613,5535,4305,4613,4920,4305,4920,5843,4305,4613,5228,4305,4920,5843,4305,4613,5228,4305,4920,6150,4305,4920,5228,4613,5228,NA,4613,5228,5535
"0.049Northern",NA,NA,NA,NA,NA,NA,3383,3383,3690,3383,3383,3383,3690,3998,4305,3383,3690,3998,3690,4305,5228,3690,3998,4305,3690,4305,5228,3690,3998,4305,3690,4305,5228,3690,3998,4305,3690,4305,5535,3690,3998,4613,3998,4613,5843,3690,4305,4613
"0.023Central",NA,NA,NA,NA,NA,NA,4920,5535,NA,4920,5535,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.033Central",NA,NA,NA,NA,NA,NA,4305,4920,5843,4305,4613,4920,5843,NA,NA,5535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.043Central",NA,NA,NA,NA,NA,NA,3690,4305,5228,3383,3998,4305,4305,5535,NA,3998,4920,5843,4920,NA,NA,4305,5843,NA,4920,NA,NA,4305,6150,NA,4920,NA,NA,4305,6150,NA,5228,NA,NA,4613,6150,NA,5535,NA,NA,4613,NA,NA
"0.026Central",NA,NA,NA,NA,NA,NA,3998,3998,4613,3998,3998,4305,4920,5228,6150,4920,5228,5535,5535,NA,NA,5843,6150,NA,5843,NA,NA,5843,NA,NA,5843,NA,NA,5843,NA,NA,6150,NA,NA,6150,NA,NA,NA,NA,NA,NA,NA,NA
"0.036Central",NA,NA,NA,NA,NA,NA,3690,3998,4305,3690,3690,3998,4305,4613,5535,3998,4613,4920,4613,5535,NA,4613,5228,5843,4920,5843,NA,4920,5535,6150,4920,5843,NA,4920,5535,6150,4920,5843,NA,4920,5535,6150,5228,NA,NA,5228,5843,NA
"0.046Central",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3383,3690,3690,3998,4920,3383,3998,4305,3998,4613,6150,3690,4305,4920,3998,4920,NA,3690,4305,4920,3998,4920,NA,3690,4305,4920,3998,4920,NA,3690,4305,4920,3998,5228,NA,3690,4613,5228
"0.029Central",NA,NA,NA,NA,NA,NA,3690,3690,3998,3690,3690,3690,4305,4613,4920,4305,4305,4613,4613,5228,6150,4613,5228,5535,4920,5535,NA,4920,5228,5535,4920,5535,NA,4920,5228,5535,4920,5535,NA,4920,5535,5843,5228,5843,NA,5228,5843,6150
"0.039Central",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3690,3690,3690,3998,4613,3690,3998,4305,4305,4613,5535,3998,4613,4920,4305,4920,5843,4305,4613,4920,4305,4920,5843,4305,4613,4920,4305,4920,5843,4305,4613,5228,4613,5228,NA,4305,4920,5535
"0.049Central",NA,NA,NA,NA,NA,NA,3383,3383,3690,3383,3383,3383,3383,3690,4305,3383,3690,3690,3690,3998,4920,3383,3690,4305,3690,4305,5228,3383,3998,4305,3690,4305,5228,3383,3998,4305,3690,4305,5228,3383,3998,4305,3690,4305,5535,3690,3998,4613
"0.023Black Belt",NA,NA,NA,NA,NA,NA,4920,5535,NA,4920,5228,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.033Black Belt",NA,NA,NA,NA,NA,NA,4305,4920,5843,4305,4613,4920,5535,NA,NA,5535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.043Black Belt",NA,NA,NA,NA,NA,NA,3690,4305,5228,3383,3998,4305,3998,5535,NA,3690,4613,5535,4613,NA,NA,3998,5535,NA,4920,NA,NA,3998,5843,NA,4920,NA,NA,3998,5843,NA,4920,NA,NA,4305,5843,NA,5228,NA,NA,4305,NA,NA
"0.026Black Belt",NA,NA,NA,NA,NA,NA,3998,3998,4613,3998,3998,4305,4613,5228,6150,4920,5228,5535,5535,NA,NA,5535,6150,NA,5843,NA,NA,5843,NA,NA,5843,NA,NA,5843,NA,NA,6150,NA,NA,6150,NA,NA,NA,NA,NA,NA,NA,NA
"0.036Black Belt",NA,NA,NA,NA,NA,NA,3690,3690,4305,3690,3690,3998,4305,4613,5535,3998,4305,4920,4613,5535,NA,4613,5228,5843,4920,5535,NA,4613,5228,5843,4920,5535,NA,4613,5228,5843,4920,5843,NA,4920,5535,6150,5228,6150,NA,5228,5843,NA
"0.046Black Belt",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3383,3690,3690,3998,4920,3383,3690,3998,3690,4613,6150,3383,3998,4613,3690,4613,6150,3690,4305,4920,3690,4613,6150,3690,4305,4920,3998,4920,NA,3690,4305,4920,3998,4920,NA,3690,4305,5228
"0.029Black Belt",NA,NA,NA,NA,NA,NA,3690,3690,3998,3690,3690,3690,4305,4613,4920,4305,4305,4613,4613,5228,6150,4613,5228,5535,4920,5228,NA,4920,5228,5535,4920,5228,NA,4920,5228,5535,4920,5535,NA,4920,5535,5843,5228,5843,NA,5228,5843,6150
"0.039Black Belt",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3690,3690,3690,3998,4613,3690,3998,4305,3998,4613,5535,3998,4305,4920,4305,4613,5843,3998,4613,4920,4305,4613,5843,3998,4613,4920,4305,4920,5843,4305,4613,4920,4613,5228,NA,4305,4920,5228
"0.049Black Belt",NA,NA,NA,NA,NA,NA,3383,3383,3690,3383,3383,3383,3383,3690,4305,3383,3690,3690,3690,3998,4920,3383,3690,3998,3690,3998,5228,3383,3690,4305,3690,3998,5228,3383,3690,4305,3690,4305,5228,3383,3998,4305,3690,4305,5535,3383,3998,4305
"0.023Southern",NA,NA,NA,NA,NA,NA,4920,5535,NA,4920,5228,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.033Southern",NA,NA,NA,NA,NA,NA,4305,4920,5843,4305,4613,4920,5535,NA,NA,5535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.043Southern",NA,NA,NA,NA,NA,NA,3690,3998,5228,3383,3690,4305,3998,5228,NA,3690,4613,5535,4613,NA,NA,3998,5228,NA,4613,NA,NA,3998,5535,NA,4613,NA,NA,3998,5535,NA,4920,NA,NA,3998,5843,NA,4920,NA,NA,3998,6150,NA
"0.026Southern",NA,NA,NA,NA,NA,NA,3998,3998,4613,3998,3998,4305,4613,5228,6150,4613,5228,5535,5535,NA,NA,5535,6150,NA,5843,NA,NA,5843,NA,NA,5843,NA,NA,5843,NA,NA,6150,NA,NA,6150,NA,NA,NA,NA,NA,NA,NA,NA
"0.036Southern",NA,NA,NA,NA,NA,NA,3690,3690,4305,3690,3690,3998,3998,4613,5535,3998,4305,4920,4613,5535,NA,4613,5228,5535,4920,5535,NA,4613,5228,5843,4920,5535,NA,4613,5228,5843,4920,5843,NA,4920,5535,6150,5228,6150,NA,4920,5843,NA
"0.046Southern",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3383,3690,3690,3998,4920,3383,3690,3998,3690,4613,5843,3383,3998,4613,3690,4613,6150,3383,3998,4613,3690,4613,6150,3383,3998,4613,3690,4613,NA,3383,4305,4920,3998,4920,NA,3690,4305,5228
"0.029Southern",NA,NA,NA,NA,NA,NA,3690,3690,3998,3690,3690,3690,4305,4613,4920,4305,4305,4613,4613,5228,6150,4613,4920,5535,4920,5228,NA,4920,5228,5535,4920,5228,NA,4920,5228,5535,4920,5535,NA,4920,5535,5843,5228,5843,NA,5228,5843,6150
"0.039Southern",NA,NA,NA,NA,NA,NA,3383,3690,3998,3383,3690,3690,3690,3998,4613,3690,3998,4305,3998,4613,5535,3998,4305,4613,4305,4613,5843,3998,4613,4920,4305,4613,5843,3998,4613,4920,4305,4920,5843,4305,4613,4920,4305,5228,NA,4305,4920,5228
"0.049Southern",NA,NA,NA,NA,NA,NA,3383,3383,3690,3383,3383,3383,3383,3690,4305,3383,3690,3690,3690,3998,4920,3383,3690,3998,3690,3998,5228,3383,3690,4305,3690,3998,5228,3383,3690,4305,3690,4305,5228,3383,3690,4305,3690,4305,5535,3383,3998,4305
